protein,condition,sample,cell,file_name,eps_um,min_samples,n_clusters,clustered_fraction,median_cluster_size,mean_cluster_size
SNAP25,500uM_H2O2_30min,1,1,SNAP25B_HEK_cell1_500um_30min_spots.csv,0.3,10,125,0.97499448407737,45.0,318.168
SNAP25,Ox_500uM_H2O2,1,1,SNAP25B_HEK_cell1_500um_spots.csv,0.3,10,108,0.9800058992078207,32.5,430.69444444444446
SNAP25,control,1,1,cs1_SNAP25B_HEK_cell1_spots.csv,0.3,10,105,0.977123784929471,27.0,381.9809523809524
SNAP25,500uM_H2O2_30min,1,2,SNAP25B_HEK_cell2_500um_30min_spots.csv,0.3,10,63,0.8751904133238549,34.0,136.79365079365078
SNAP25,Ox_500uM_H2O2,1,2,SNAP25B_HEK_cell2_500um_spots.csv,0.3,10,23,0.9599784314900246,32.0,696.6521739130435
SNAP25,control,1,2,SNAP25B_HEK_cell2_spots.csv,0.3,10,26,0.9851807735426009,24.5,1081.576923076923
SNAP25,500uM_H2O2_30min,1,3,SNAP25B_HEK_cell3_500um_30min_spots.csv,0.3,10,87,0.975613850996852,49.0,267.17241379310343
SNAP25,Ox_500uM_H2O2,1,3,SNAP25B_HEK_cell3_500um_spots.csv,0.3,10,55,0.9840873176289001,53.0,486.8727272727273
SNAP25,control,1,3,SNAP25B_HEK_cell3_spots.csv,0.3,10,38,0.9837101953438587,76.5,773.921052631579
SNAP25,500uM_H2O2_30min,2,1,cs2SNAP25B_HEK_cell1_500uM_30min_spots.csv,0.3,10,140,0.9505816329310486,29.5,249.2357142857143
SNAP25,Ox_500uM_H2O2,2,1,cs2SNAP25B_HEK_cell1_500uM_spots.csv,0.3,10,42,0.9855622880004639,26.5,1618.8095238095239
SNAP25,control,2,1,cs2SNAP25B_HEK_cell1_spots.csv,0.3,10,28,0.9900601465606018,23.5,2369.1785714285716
SNAP25,500uM_H2O2_30min,2,2,cs2SNAP25B_HEK_cell2_500uM_30min_spots.csv,0.3,10,127,0.9356610869404911,40.0,199.8188976377953
SNAP25,Ox_500uM_H2O2,2,2,cs2SNAP25B_HEK_cell2_500uM_spots.csv,0.3,10,78,0.9565515272623466,31.0,429.5897435897436
SNAP25,control,2,2,cs2SNAP25B_HEK_cell2_spots.csv,0.3,10,80,0.9561958694203864,30.0,358.8125
SNAP25,500uM_H2O2_30min,2,3,cs2SNAP25B_HEK_cell3_500uM_30min_spots.csv,0.3,10,48,0.9752264507249624,27.0,634.7708333333334
SNAP25,Ox_500uM_H2O2,2,3,cs2SNAP25B_HEK_cell3_500uM_spots.csv,0.3,10,14,0.9868783219438116,34.5,2970.785714285714
SNAP25,control,2,3,cs2SNAP25B_HEK_cell3_spots.csv,0.3,10,16,0.9851726189164776,61.0,2794.75
Syx,500uM_H2O2_30min,1,1,cs1Syx_HEK_cell1_500uM_30min_spots.csv,0.3,10,57,0.9657362848893166,33.0,176.03508771929825
Syx,Ox_500uM_H2O2,1,1,cs1Syx_HEK_cell1_500uM_spots.csv,0.3,10,57,0.9046616541353384,32.0,52.771929824561404
Syx,control,1,1,cs1Syx_HEK_cell1_spots.csv,0.3,10,70,0.9426893157644071,34.0,84.82857142857142
Syx,500uM_H2O2_30min,1,2,cs1Syx_HEK_cell2_500uM_30min_spots.csv,0.3,10,155,0.9444469134705125,38.0,137.1032258064516
Syx,Ox_500uM_H2O2,1,2,cs1Syx_HEK_cell2_500uM_spots.csv,0.3,10,174,0.9310605742149733,45.5,127.29310344827586
Syx,control,1,2,cs1Syx_HEK_cell2_spots.csv,0.3,10,90,0.973538215924965,39.0,542.0444444444445
Syx,500uM_H2O2_30min,1,3,cs1Syx_HEK_cell3_500uM_30min_spots.csv,0.3,10,111,0.9737307831723491,39.0,411.4144144144144
Syx,Ox_500uM_H2O2,1,3,cs1Syx_HEK_cell3_500uM_spots.csv,0.3,10,187,0.8995336337048455,30.0,60.855614973262036
Syx,control,1,3,cs1Syx_HEK_cell3_spots.csv,0.3,10,156,0.9603928600101694,38.5,230.0448717948718
Syx,500uM_H2O2_30min,2,1,C2-cs2Syx_HEK_cell1_500um_30min_spots.csv,0.3,10,95,0.9518948398825339,38.0,71.65263157894736
Syx,Ox_500uM_H2O2,2,1,C2-cs2Syx_HEK_cell1_500um_spots.csv,0.3,10,140,0.9585112873703477,43.5,112.21428571428571
Syx,control,2,1,C2-cs2Syx_HEK_cell1_spots.csv,0.3,10,190,0.9756692481248856,51.0,168.42105263157896
Syx,500uM_H2O2_30min,2,2,C2-cs2Syx_HEK_cell2_500um_30min_spots.csv,0.3,10,49,0.9421925773901146,50.0,112.42857142857143
Syx,Ox_500uM_H2O2,2,2,C2-cs2Syx_HEK_cell2_500um_spots.csv,0.3,10,48,0.9723762798634812,56.0,189.9375
Syx,control,2,2,C2-cs2Syx_HEK_cell2_spots.csv,0.3,10,33,0.9835846195021858,47.0,334.09090909090907
Syx,500uM_H2O2_30min,2,3,C2-cs2Syx_HEK_cell3_500um_30min_spots.csv,0.3,10,57,0.9502894678245379,43.0,299.49122807017545
Syx,Ox_500uM_H2O2,2,3,C2-cs2Syx_HEK_cell3_500um_spots.csv,0.3,10,45,0.9640115766956084,21.0,340.4888888888889
Syx,control,2,3,C2-cs2Syx_HEK_cell3_spots.csv,0.3,10,13,0.9844805117877029,30.0,1917.6923076923076
Syx,500uM_H2O2_30min,3,1,cs3Syx_HEK_cell1_500um_30min_spots.csv,0.3,10,59,0.9861062346391132,41.0,666.4406779661017
Syx,Ox_500uM_H2O2,3,1,cs3Syx_HEK_cell1_500um_spots.csv,0.3,10,62,0.989671540681726,61.5,669.1935483870968
Syx,control,3,1,cs3Syx_HEK_cell1_spots.csv,0.3,10,172,0.9597337125129266,33.0,86.3313953488372
Syx,500uM_H2O2_30min,3,2,C2-cs3Syx_HEK_cell2_500um_30min_spots.csv,0.3,10,41,0.9431055900621118,34.0,185.17073170731706
Syx,Ox_500uM_H2O2,3,2,C2-cs3Syx_HEK_cell2_500um_spots.csv,0.3,10,49,0.9585591329295505,59.0,184.10204081632654
Syx,control,3,2,cs3Syx_HEK_cell2_spots.csv,0.3,10,193,0.9834708470847084,58.0,185.279792746114
Syx,500uM_H2O2_30min,3,3,cs3Syx_HEK_cell3_500um_30min_spots.csv,0.3,10,124,0.9806843267108167,38.5,214.95967741935485
Syx,Ox_500uM_H2O2,3,3,cs3Syx_HEK_cell3_500um_spots.csv,0.3,10,58,0.9694252376836646,32.5,154.70689655172413
Syx,control,3,3,cs3Syx_HEK_cell3_spots.csv,0.3,10,19,0.990333032347161,50.0,981.3157894736842
