protein,condition,sample,cell,file_name,n_spots_raw,n_tracks_raw,n_edge_tracks_removed,n_tracks_after_edge,n_spots_after_edge,n_tracks_used,edge_margin_um,min_track_length
SNAP25,500uM_H2O2_30min,1,1,SNAP25B_HEK_cell1_500um_30min_spots.csv,48166,2601,462,2139,40791,2139,0.5,10
SNAP25,Ox_500uM_H2O2,1,1,SNAP25B_HEK_cell1_500um_spots.csv,55543,2801,418,2383,47464,2383,0.5,10
SNAP25,control,1,1,cs1_SNAP25B_HEK_cell1_spots.csv,47289,2334,379,1955,41047,1955,0.5,10
SNAP25,500uM_H2O2_30min,1,2,SNAP25B_HEK_cell2_500um_30min_spots.csv,20214,1295,766,529,9847,529,0.5,10
SNAP25,Ox_500uM_H2O2,1,2,SNAP25B_HEK_cell2_500um_spots.csv,20355,1023,272,751,16691,751,0.5,10
SNAP25,control,1,2,SNAP25B_HEK_cell2_spots.csv,33985,1704,361,1343,28544,1343,0.5,10
SNAP25,500uM_H2O2_30min,1,3,SNAP25B_HEK_cell3_500um_30min_spots.csv,26427,1354,166,1188,23825,1188,0.5,10
SNAP25,Ox_500uM_H2O2,1,3,SNAP25B_HEK_cell3_500um_spots.csv,30593,1487,254,1233,27211,1233,0.5,10
SNAP25,control,1,3,SNAP25B_HEK_cell3_spots.csv,34852,1821,338,1483,29896,1483,0.5,10
SNAP25,500uM_H2O2_30min,2,1,cs2SNAP25B_HEK_cell1_500uM_30min_spots.csv,50479,2890,934,1956,36707,1956,0.5,10
SNAP25,Ox_500uM_H2O2,2,1,cs2SNAP25B_HEK_cell1_500uM_spots.csv,87032,4794,1106,3688,68986,3688,0.5,10
SNAP25,control,2,1,cs2SNAP25B_HEK_cell1_spots.csv,82702,4368,954,3414,67003,3414,0.5,10
SNAP25,500uM_H2O2_30min,2,2,cs2SNAP25B_HEK_cell2_500uM_30min_spots.csv,40162,2378,897,1481,27122,1481,0.5,10
SNAP25,Ox_500uM_H2O2,2,2,cs2SNAP25B_HEK_cell2_500uM_spots.csv,48864,2720,953,1767,35030,1767,0.5,10
SNAP25,control,2,2,cs2SNAP25B_HEK_cell2_spots.csv,40634,2181,725,1456,30020,1456,0.5,10
SNAP25,500uM_H2O2_30min,2,3,cs2SNAP25B_HEK_cell3_500uM_30min_spots.csv,37614,2121,496,1625,31243,1625,0.5,10
SNAP25,Ox_500uM_H2O2,2,3,cs2SNAP25B_HEK_cell3_500uM_spots.csv,51455,2739,683,2056,42144,2056,0.5,10
SNAP25,control,2,3,cs2SNAP25B_HEK_cell3_spots.csv,53121,2811,540,2271,45389,2271,0.5,10
Syx,500uM_H2O2_30min,1,1,cs1Syx_HEK_cell1_500uM_30min_spots.csv,11753,705,95,610,10390,610,0.5,10
Syx,Ox_500uM_H2O2,1,1,cs1Syx_HEK_cell1_500uM_spots.csv,6725,493,276,217,3325,217,0.5,10
Syx,control,1,1,cs1Syx_HEK_cell1_spots.csv,13326,893,514,379,6299,379,0.5,10
Syx,500uM_H2O2_30min,1,2,cs1Syx_HEK_cell2_500uM_30min_spots.csv,32843,2187,757,1430,22501,1430,0.5,10
Syx,Ox_500uM_H2O2,1,2,cs1Syx_HEK_cell2_500uM_spots.csv,38595,2271,976,1295,23789,1295,0.5,10
Syx,control,1,2,cs1Syx_HEK_cell2_spots.csv,63521,3537,835,2702,50110,2702,0.5,10
Syx,500uM_H2O2_30min,1,3,cs1Syx_HEK_cell3_500uM_30min_spots.csv,55709,3276,525,2751,46899,2751,0.5,10
Syx,Ox_500uM_H2O2,1,3,cs1Syx_HEK_cell3_500uM_spots.csv,17196,923,245,678,12651,678,0.5,10
Syx,control,1,3,cs1Syx_HEK_cell3_spots.csv,46385,2602,616,1986,37367,1986,0.5,10
Syx,500uM_H2O2_30min,2,1,C2-cs2Syx_HEK_cell1_500um_30min_spots.csv,10039,564,218,346,7151,346,0.5,10
Syx,Ox_500uM_H2O2,2,1,C2-cs2Syx_HEK_cell1_500um_spots.csv,18541,880,130,750,16390,750,0.5,10
Syx,control,2,1,C2-cs2Syx_HEK_cell1_spots.csv,40070,2209,481,1728,32798,1728,0.5,10
Syx,500uM_H2O2_30min,2,2,C2-cs2Syx_HEK_cell2_500um_30min_spots.csv,13956,905,602,303,5847,303,0.5,10
Syx,Ox_500uM_H2O2,2,2,C2-cs2Syx_HEK_cell2_500um_spots.csv,12570,683,224,459,9376,459,0.5,10
Syx,control,2,2,C2-cs2Syx_HEK_cell2_spots.csv,12751,676,38,638,11209,638,0.5,10
Syx,500uM_H2O2_30min,2,3,C2-cs2Syx_HEK_cell3_500um_30min_spots.csv,23476,1318,425,893,17964,893,0.5,10
Syx,Ox_500uM_H2O2,2,3,C2-cs2Syx_HEK_cell3_500um_spots.csv,17755,919,139,780,15894,780,0.5,10
Syx,control,2,3,C2-cs2Syx_HEK_cell3_spots.csv,31859,1639,308,1331,25323,1331,0.5,10
Syx,500uM_H2O2_30min,3,1,cs3Syx_HEK_cell1_500um_30min_spots.csv,47569,2578,477,2101,39874,2101,0.5,10
Syx,Ox_500uM_H2O2,3,1,cs3Syx_HEK_cell1_500um_spots.csv,44125,2305,149,2156,41923,2156,0.5,10
Syx,control,3,1,cs3Syx_HEK_cell1_spots.csv,22226,1274,489,785,15472,785,0.5,10
Syx,500uM_H2O2_30min,3,2,C2-cs3Syx_HEK_cell2_500um_30min_spots.csv,14828,956,516,440,8050,440,0.5,10
Syx,Ox_500uM_H2O2,3,2,C2-cs3Syx_HEK_cell2_500um_spots.csv,11972,697,192,505,9411,505,0.5,10
Syx,control,3,2,cs3Syx_HEK_cell2_spots.csv,44358,2261,484,1777,36360,1777,0.5,10
Syx,500uM_H2O2_30min,3,3,cs3Syx_HEK_cell3_500um_30min_spots.csv,32785,1735,416,1319,27180,1319,0.5,10
Syx,Ox_500uM_H2O2,3,3,cs3Syx_HEK_cell3_500um_spots.csv,16734,1018,574,444,9256,444,0.5,10
Syx,control,3,3,cs3Syx_HEK_cell3_spots.csv,23401,1238,336,902,18827,902,0.5,10
